번호	뜻	한자	훈독	음독
734	번거로울 번	煩	はん、ぼん	わずらう、わずらわす、わずらわしい
735	울타리 번	藩	はん	まがき
736	번역할 번	翻	ほん	ひるがえる、ひるがえす
737	칠 벌	伐	ばつ	うつ、きる
738	벌할 벌	罰	ばつ、ばち	
739	문벌 벌	閥	ばつ	
740	범할 범	犯	はん	おかす
741	무릇 범	凡	はん、ぼん	およそ、すべて
742	넘칠 범	氾	はん	
743	넓을 범	汎	はん	
744	돛 범	帆	はん	ほ
745	법 범	範	はん	のり
746	법 법	法	ほう、ほっ、はっ	
747	벽 벽	壁	へき	かべ
748	버릇 벽	癖	へき	くせ
749	구슬 벽	璧	へき	
750	가 변	辺	へん	あたり、べ
751	변할 변	変	へん	かわる、かえる
752	말씀 변	弁	べん	
753	나눌 별	別	べつ	わかれる
754	병 병	病	びょう、へい	やむ、やまい
755	병사 병	兵	へい	
756	나란히 병	並	へい	なみ、ならべる、ならぶ、ならびに
757	남녘 병	丙	へい	
758	아우를 병	併	へい	あわせる、しかし
759	자루 병	柄	へい	え、がら、つか
760	병 병	瓶	びん	
761	담 병	塀	へい	
762	떡 병	餅	へい	もち
763	걸음 보	歩	ほ、ぶ、ふ	あるく、あゆむ
764	지킬 보	保	ほ	たもつ
765	갚을 보	報	ほう	しらせる、むくいる
766	보배 보	宝	ほう	たから
767	기울 보	補	ほ	おぎなう
768	넓을 보	普	ふ	
769	족보 보	譜	ふ	
770	옷 복	服	ふく	
771	복 복	福	ふく	
772	회복할 복/ 다시 부	復	ふく	
773	겹칠 복	複	ふく	
774	배 복	腹	ふく	はら
775	엎드릴 복	伏	ふく	ふせる、ふす
776	종 복	僕	ぼく	
777	뒤집힐 복/ 덮을 부	覆	ふく	おおう、くつがえす、くつがえる
778	근본 본	本	ほん	もと
779	막대 봉	棒	ぼう	
780	받들 봉	奉	ぶ、ほう	たてまつる
781	봉할 봉	封	ふう、ほう	
782	녹 봉	俸	ほう	
783	봉우리 봉	峰	ほう	みね
784	벌 봉	蜂	ほう	はち
785	꿰맬 봉	縫	ほう	ぬう
786	아비 부	父	ふ	ちち
787	질 부	負	ふ	まける、まかす、おう
788	떼 부	部	ぶ	べ
789	지아비 부	夫	ふ、ふう	おっと
790	줄 부	付	ふ	つく、つける
791	막을 부	府	ふ	
792	버금 부	副	ふく	
793	며느리 부	婦	ふ	
794	부유할 부	富	ふ、ふう	とむ、とみ
795	아닐 부	否	ひ	いな
796	도울 부	扶	ふ	おもむく
797	언덕 부	阜	ふ	
798	붙을 부	附	ふ	つく、つける
799	갈 부	赴	ふ	おもむく
800	부고 부	訃	ふ	
801	뜰 부	浮	ふ	うく、うかれる、うかぶ、うかべる
802	쪼갤 부	剖	ぼう	
803	가마솥 부	釜	ふ	かま
804	부호 부	符	ふ	
805	썩을 부	腐	ふ	くさる、くされる、くさらす
806	펼 부	敷	ふ	しく
807	부세 부	賦	ふ	
808	살갗 부	膚	ふ	はだ
809	문서 부	簿	ぼ	
810	북녘 북/ 달아날 배	北	ほく	きた
811	나눌 분	分	ぶん、ふん、ぶ	わける、わかれる、わかる、わかつ
812	가루 분	粉	ふん	こ、こな
813	떨칠 분	奮	ふん	ふるう
814	달릴 분	奔	ほん、はしる	
815	동이 분	盆	ぼん	
816	어지러울 분	紛	ふん	まぎれる、まぎらす、まぎらわす、まぎらわしい
817	눈날릴 분	雰	ふん	
818	뿜을 분	噴	ふん	ふく
819	분할 분	憤	ふん	いきどおる
820	무덤 분	墳	ふん	
821	아니 불/ 아니 부	不	ふ、ぶ	
822	부처 불	仏	ぶつ	ほとけ
823	떨칠 불	払	ふつ	はらう
824	무너질 붕	崩	ほう	くずれる、くずす
825	사다리 붕	棚	たな	
826	슬플 비	悲	ひ	かなしい、かなしむ
827	코 비	鼻	び	はな
828	날 비	飛	ひ	とぶ、とばす
829	쓸 비	費	ひ	ついやす、ついえる
830	견줄 비	比	ひ	くらべる
831	아닐 비	非	ひ	
832	살찔 비	肥	ひ	こえる、こえ、こやす
833	갖출 비	備	び	そなえる、そなわる
834	비평할 비	批	ひ	
835	숨길 비	秘	ひ	ひめる
836	왕비 비	妃	ひ	
837	끓을 비	沸	ふつ	わく、わかす
838	분비할 비/ 스며흐를 필	泌	ひ、ひつ	
839	낮을 비	卑	ひ	いやしい、いやしむ、いやしめる
840	사립문 비	扉	ひ	とびら
841	비석 비	碑	ひ	いしぶみ
842	가난할 빈	貧	ひん、びん	まずしい
843	물가 빈	浜	ひん	はま
844	손 빈	賓	ひん	
845	자주 빈	頻	ひん	
846	얼음 빙	氷	ひょう	こおり、ひ
847	넉 사	四	し、よ、よつ、よん	
848	실 사	糸	し	いと
849	절 사	寺	じ	てら
850	모일 사	社	しゃ	やしろ
851	생각 사	思	し	おもう
852	베낄 사	写	しゃ	うつす、うつる
853	섬길 사	仕	し	つかえる
854	죽을 사	死	し	しぬ
855	일 사	事	じ、ず	こと
856	하여금 사	使	し	つかう
857	선비 사	士	し	
858	사기 사	史	し	
859	맡을 사	司	し	つかさどる
860	말씀 사	辞	じ	やめる
861	닮을 사	似	じ	にる
862	집 사	舎	しゃ	
863	조사할 사	査	さ	
864	스승 사	師	し	
865	기를 사	飼	し	かう
866	사례할 사	謝	しゃ	あやまる
867	사사로울 사	私	し	わたくし、わたし
868	모래 사	砂	さ、しゃ	すな
869	쏠 사	射	しゃ	いる
870	버릴 사	捨	しゃ	すてる
871	말 사	詞	し	
872	모래 사	沙	さ	すな
873	엿볼 사	伺	し	うかがう
874	간사할 사	邪	じゃ	
875	풀 사	卸		おろす、おろし
876	부추길 사	唆	さ	そそのかす
877	비스듬할 사	斜	しゃ	ななめ
878	뱀 사	蛇	じゃ、だ	へび
879	용서할 사	赦	しゃ	
880	속일 사	詐	さ	
881	이을 사	嗣	し	つぐ
882	줄 사	賜	し	たまわる
883	갂을 삭	削	さく	けずる
884	뫼 산	山	さん	やま
885	셈 산	算	さん	
886	낳을 산	産	さん	うむ、うまれる、うぶ
887	흩을 산	散	さん	ちる、ちらす、ちらかす、ちらかる
888	실 산	酸	さん	すい
889	우산 산	傘	さん	かさ
890	죽일 살/ 덜 쇄	殺	さつ、さい、せつ	ころす
891	석 삼	三	さん	み、みつ
892	수풀 삼	森	しん	もり
893	삼나무 삼	杉		すぎ
894	꽂을 삽	挿	そう	さす
895	떫을 삽	渋	じゅう	しぶ、しぶい、しぶる
896	윗 상	上	じょう	うえ、うわ、かみ、あげる、あがる、のぼる
897	장사 상	商	しょう	あきなう
898	서로 상	相	そう、しょう	あい
899	생각 상	想	そう、そ	おもう
900	상자 상	箱		はこ
901	코끼리 상	象	しょう、ぞう	
902	상줄 상	賞	しょう	ほめる、めでる
903	형상 상/ 문서 장	状	じょう	
904	항상 상	常	じょう	つね、とこ
905	모양 상	像	ぞう	
906	다칠 상	傷	しょう	きず、いたむ、いためる
907	평상 상	床	しょう	とこ、ゆか
908	오히려 상	尚	しょう	
909	상서로울 상	祥	しょう	
910	뽕나무 상	桑	そう	くわ
911	시원할 상	爽	そう	さわやか
912	잃을 상	喪	そう	も
913	자세할 상	詳	しょう	くわしい
914	갚을 상	償	しょう	つぐなう
915	서리 상	霜	そう	しも
916	옥새 새	璽	じ	
917	빛 색	色	しょく、しき	いろ
918	찾을 색/ 동아줄 삭	索	さく	
919	막힐 색/ 변방 새	塞	そく、さい	ふさぐ、ふさがる
920	날 생	生	せい、しょう	いきる、いかす、いける、うまれる、はえる、なま
921	희생 생	牲	せい	
922	서녘 서	西	せい、さい	にし
923	글 서	書	しょ	かく
924	더울 서	暑	しょ	あつい
925	차례 서	序	じょ	
926	마을 서	署	しょ	
927	펼 서	叙	じょ	のべる
928	천천히 할 서	徐	じょ	おもむろ
929	갈 서	逝	せい	ゆく、いく
930	여러 서	庶	しょ	
931	사위 서	婿	せい	むこ
932	실마리 서	緒	しょ、ちょ	お
933	맹세할 서	誓	せい	ちかう
934	저녁 석	夕	せき	ゆう
935	돌 석	石	せき、しゃく、こく	いし
936	예 석	昔	せき、しゃく	むかし
937	자리 석	席	せき	
938	쪼갤 석	析	せき	
939	풀 석	釈	しゃく	
940	아낄 석	惜	せき	おしい、おしむ
941	개펄 석	潟		かた
942	먼저 선	先	せん	さき
943	배 선	船	せん	ふね、ふな
944	줄 선	線	せん	
945	고를 선	選	せん	えらぶ
946	베풀 선	宣	せん	
947	착할 선	善	せん	よい
948	신선 선	仙	せん	
949	부채 선	扇	せん	おうぎ
950	돌 선	旋	せん	
951	부러워할 선	羨	せん	うらやむ、うらやましい
952	샘 선	腺	せん	
953	선 선	禅	ぜん	
954	반찬 선	膳	ぜん	
955	고울 선	鮮	せん	あざやか
956	기울 선	繕	ぜん	つくろう
957	눈 설	雪	せつ	ゆき
958	말씀 설/ 달랠 세	説	せつ、ぜい	とく
959	혀 설	舌	ぜつ	した
960	베풀 설	設	せつ	もうける
961	가늘 섬	繊	せん	
962	건널 섭	渉	しょう	
963	다스릴/ 잡을 섭	摂	せつ	
964	별 성	星	せい、しょう	ほし
965	소리 성	声	せい、しょう	こえ、こわ
966	이룰 성	成	せい、じょう	なす、なる
967	살필 성/ 덜 생	省	せい、しょう	かえりみる、はぶく
968	성품 성	性	せい、しょう	
969	성 성	城	じょう	しろ
970	성할 성	盛	せい、じょう	もる、さかる、さかん
971	정성 성	誠	せい	まこと
972	성인 성	聖	せい	
973	성씨 성	姓	せい、しょう	
974	깰 성	醒	せい	さめる、さます
975	가늘 세	細	さい	ほそい、ほそる、こまか、こまかい
976	인간/ 세상 세	世	せい、せ	よ
977	세금 세	税	ぜい	
978	형세 세	勢	せい	いきおい
979	씻을 세	洗	せん	あらう
980	해 세	歳	さい、せい	
981	작을 소	小	しょう	ちいさい、こ、お
982	적을 소	少	しょう	すくない、すこし
983	바 소	所	しょ	ところ
984	밝을 소	昭	しょう	
985	사라질 소	消	しょう	きえる、けす
986	웃음 소	笑	しょう	わらう、えむ
987	새집 소	巣	そう	す
988	불사를 소	焼	しょう	やく、やける
989	본디/ 흴 소	素	す、そ	
990	부를 소	召	しょう	めす
991	못 소	沼	しょう	ぬま
992	꽃필 소	咲		さく
993	밤 소	宵	しょう	よい
994	이을 소	紹	しょう	
995	쓸 소	掃	そう	はく
996	호소할 소	訴	そ	うったえる
997	성길 소	疎	そ	うとい、うとむ
998	흙 빚을 소	塑	そ	
999	거스를 소	遡	そ	さかのぼる
1000	떠들 소	騒	そ	さわぐ、さわがしい
1001	빠를 속	速	そく	はやい、はやめる、はやまる、すみやか
1002	묶을 속	束	そく	たば、たばねる
1003	이을 속	続	ぞく	つづく、つづける
1004	무리 속	属	ぞく	
1005	풍속 속	俗	ぞく	
1006	손자 손	孫	そん	まご
1007	덜 손	損	そん	そこなう、そこねる
1008	겸손할 손	遜	そん	へりくだる
1009	보낼 송	送	そう	おくる
1010	소나무 송	松	しょう	まつ
1011	송사할 송	訟	しょう	
1012	인쇄할 쇄	刷	さつ	する
1013	부술 쇄	砕	さい	くだく、くだける
1014	쇠사슬 쇄	鎖	さ	くさり
1015	쇠할 쇠	衰	すい	おとろえる
1016	물 수	水	すい	みず
1017	손 수	手	しゅ	て、た
1018	머리 수	首	しゅ	くび
1019	셈 수	数	すう、す	かず、かぞえる
1020	지킬 수	守	しゅ、す	まもる、もり
1021	받을 수	受	じゅ	うける、うかる
1022	닦을 수	修	しゅう、しゅ	おさめる、おさまる
1023	줄 수	授	じゅ	さずける、さずかる
1024	보낼 수	輸	ゆ	
1025	거둘 수	収	しゅう	おさまる、おさめる
1026	드리울 수	垂	すい	たれる、たらす
1027	나무 수	樹	じゅ	
1028	가둘 수	囚	しゅう	
1029	빼어날 수	秀	しゅう	ひいでる
1030	목숨 수	寿	じゅ	ことぶき
1031	사냥할 수	狩	しゅ	かる
1032	장수 수	帥	すい	
1033	찾을 수	捜	そう	さがす
1034	다를 수	殊	しゅ	こと
1035	소매 수	袖	しゅう	そで
1036	순수할 수	粋	すい	いき
1037	부끄러울 수	羞	しゅう	
1038	드디어 수	遂	すい	とげる
1039	모름지기 수	須	す	すべからく
1040	여윌 수	痩	そう	やせる
1041	따를 수	随	ずい	
1042	졸음 수	睡	すい	
1043	갚을 수	酬	しゅう	
1044	근심 수	愁	しゅう	うれえる、うれい
1045	쓰일/ 쓸 수	需	じゅ	
1046	누구 수	誰		だれ
1047	이삭 수	穂	すい	ほ
1048	짐승 수	獣	じゅう	けもの
1049	뼛골 수	髄	ずい	
1050	잘 숙	宿	しゅく	やど、やどる、やどす
1051	익을 숙	熟	じゅく	うれる
1052	아저씨 숙	叔	しゅく	
1053	맑을 숙	淑	しゅく	
1054	엄숙할 숙	粛	しゅく	
1055	글방 숙	塾	じゅく	
1056	순할 순	順	じゅん	
1057	순수할 순	純	じゅん	
1058	열흘 순	旬	じゅん、しゅん	
1059	돌/ 순행할 순	巡	じゅん	めぐる
1060	방패 순	盾	じゅん	たて
1061	입술 순	唇	しん	くちびる
1062	따라죽을 순	殉	じゅん	
1063	돌 순	循	じゅん	
1064	눈 깜짝일 순	瞬	しゅん	またたく
1065	펼 술	述	じゅつ	のべる
1066	재주 술	術	じゅつ	
1067	높을 숭	崇	すう	
1068	무릎 슬	膝	しつ	ひざ
1069	주울 습/ 열 십	拾	しゅう	ひろう
1070	익힐 습	習	しゅう	ならう
1071	젖을 습	湿	しつ	しめる、しめす、しめっぽい
1072	엄습할 습	襲	しゅう	おそう
1073	탈 승	乗	じょう	のる、のせる
1074	이길 승	勝	しょう	かつ、まさる
1075	이을 승	承	しょう	うけたまわる
1076	되 승	升	しょう	ます
1077	오를 승	昇	しょう	のぼる
1078	중 승	僧	そう	
1079	노끈 승	縄	じょう	なわ
1080	저자 시	市	し	いち
1081	화살 시	矢	し	や
1082	때 시	時	じ	とき
1083	비로소 시	始	し	はじめる、はじまる
1084	시 시	詩	し	
1085	시험 시	試	し	ためす、こころみる
1086	보일 시	示	じ、し	しめす
1087	볼 시	視	し	
1088	모실 시	侍	じ	さむらい
1089	감나무 시	柿	し	かき
1090	베풀 시	施	し、せ	ほどこす
1091	옳을 시	是	ぜ	
1092	밥/ 먹을 식	食	しょく、じき	たべる、くう、くらう
1093	법 식	式	しき	
1094	쉴 식	息	そく	いき
1095	심을 식	植	しょく	うえる、うわる
1096	알 식	識	しき	
1097	씻을 식	拭	しょく	ふく、ぬぐう
1098	불릴 식	殖	しょく	ふえる、ふやす
1099	꾸밀 식	飾	しょく	かざる
1100	새 신	新	しん	あたらしい、あらた、にい
1101	거듭 신	申	しん	もうす
1102	몸 신	身	しん	み
1103	귀신 신	神	しん、じん	かみ、かん、こう
1104	신하 신	臣	しん、じん	
1105	믿을 신	信	しん	
1106	빠를 신	迅	じん	
1107	펼 신	伸	しん	のびる、のばす、のべる
1108	매울 신	辛	しん	からい
1109	아이 밸 신	娠	しん	
1110	신사 신	紳	しん	
1111	삼갈 신	慎	しん	つつしむ
1112	콩팥 신	腎	じん	
1113	섶 신	薪	しん	たきぎ
1114	집 실	室	しつ	むろ
1115	열매 실	実	じつ	み、みのる
1116	잃을 실	失	しつ	うしなう
1117	마음 심	心	しん	こころ
1118	깊을 심	深	しん	ふかい、ふかまる、ふかめる
1119	등심초 심	芯	しん	
1120	심할 심	甚	じん	はなはだ、はなはだしい
1121	찾을 심	尋	じん	たずねる
1122	살필 심	審	しん	
1123	열 십	十	じゅう	と、とお
1124	두 쌍/ 쌍	双	そう	ふた
1125	각시/ 성씨 씨	氏	し	うじ
1126	아이 아	児	じ、に	
1127	싹 아	芽	が	め
1128	나 아	我	が	われ、わ
1129	어금니 아	牙	が、け	きば
1130	버금 아	亜	あが	
1131	맑을 아	雅	が	
1132	주릴 아	餓	が	
1133	악할 악/ 미워할 오	悪	あく、お	わるい
1134	큰 산 악	岳	がく	たけ
1135	쥘 악	握	あく	にぎる
1136	턱 악	顎	がく	あご
1137	낯 안	顔	がん	かお
1138	편안 안	安	あん	やすい
1139	언덕 안	岸	がん	きし
1140	책상 안	案	あん	
1141	눈 안	眼	がん、げん	まなこ
1142	뵐 알	謁	えつ	
1143	바위 암	岩	がん	いわ
1144	어두울 암	暗	あん	くらい
1145	나 암	俺		おれ
1146	숨을 암	闇		やみ
1147	누를 압	圧	あつ	
1148	누를 압	押	おう	おう、おさえる
1149	가운데 앙	央	おう	
1150	우러를 앙	仰	ぎょう、こう	おおぐ、おおせ
1151	사랑 애	愛	あい	
1152	슬플 애	哀	あい	あわれ、あわれむ
1153	밀칠 애	挨	あい	
1154	물가 애	涯	がい	
1155	언덕 애	崖	がい	がけ
1156	희미할 애	曖	あい	
1157	진 액	液	えき	
1158	이마 액	額	がく	ひたい
1159	액 액	厄	やく	
1160	앵두 앵	桜	おう	さくら
1161	밤 야	夜	や	よ、よる
1162	들 야	野	や	の
1163	불릴 야	冶	や	
1164	약할 약	弱	じゃく	よわい、よわまる、よわめる、よわる
1165	약 약	薬	やく	くすり
1166	맺을 약	約	やく	
1167	같을 약	若	じゃく、にゃく	わかい、もしくは
1168	뛸 약	躍	やく	おどる
1169	양 양	羊	よう	ひつじ
1170	큰 바다 양	洋	よう	
1171	볕 양	陽	よう	
1172	모양 양	様	よう	さま
1173	기를 양	養	よう	やしなう
1174	날릴 양	揚	よう	あげる、あがる
1175	헐 양	瘍	よう	
1176	흙덩이 양	壌	じょう	
1177	아가씨 양	嬢	じょう	
1178	사양할 양	譲	じょう	ゆずる
1179	술빚을 양	醸	じょう	かもす
1180	물고기 어	魚	ぎょ	さかな、うお
1181	말씀 어	語	ご	かたる、かたらう
1182	고기 잡을 어	漁	ぎょ、きょう	
1183	거느릴 어	御	ぎょ、ご	おん
1184	억 억	億	おく	
1185	누를 억	抑	よく	おさえる
1186	생각할 억	憶	おく	
1187	가슴 억	臆	おく	
1188	말씀 언	言	げん、ごん	いう、こと
1189	엄할 엄	厳	げん、ごん	おごそか、きびしい
1190	업 업	業	ぎょう、ごう	わざ
1191	나/ 남을 여	余	よ	あまる、あます
1192	더불/ 줄 여	与	よ	あたえる
1193	같을 여	如	じょ、にょ	
1194	부릴 역	役	やく、えき	
1195	역 역	駅	えき	
1196	바꿀 역/ 쉬울 이	易	えき、い	やさしい
1197	거스를 역	逆	ぎゃく	さか、さからう
1198	지경 역	域	いき	
1199	번역할 역	訳	やく	わけ
1200	전염병 역	疫	えき、やく	
1201	갈 연	研	けん	とぐ
1202	그럴 연	然	ぜん、ねん	
1203	펼 연	演	えん	
1204	탈 연	燃	ねん	もえる、もやす、もす
1205	늘일 연	延	えん	のびる、のべる、のばす
1206	물 따라갈 연	沿	えん	そう
1207	잔치 연	宴	えん	
1208	연할 연	軟	なん	やわらか、やわらかい
1209	연기 연	煙	えん	けむり、けむる、けむい、けむたい
1210	납 연	鉛	えん	なまり
1211	인연 연	縁	えん	ふち
1212	더울 열	熱	ねつ	あつい
1213	기쁠 열	悦	えつ	
1214	볼 열	閲	えつ	
1215	소금 염	塩	えん	しお
1216	물들 염	染	せん	そめる、そまる、しみる、しみ
1217	불꽃 염	炎	えん	ほのお
1218	비틀 염	捻	ねん	いねる
1219	고울 염	艶	えん	つや、つややか、あでやか、たまめかしい
1220	잎 엽	葉	よう	は
1221	헤엄칠 영	泳	えい	およぐ
1222	꽃부리 영	英	えい	
1223	영화 영	栄	えい	さかえる、はえ
1224	길 영	永	えい	ながい
1225	경영할 영	営	えい	いとなむ
1226	비칠 영	映	えい	うつる、うつす、はえる
1227	맞을 영	迎	げい	むかえる
1228	읊을 영	詠	えい	よむ
1229	그림자 영	影	えい	かげ
1230	미리 예	予	よ	あらかじめ
1231	재주 예	芸	げい	
1232	맡길/ 미리 예	預	よ	あずける、あずかる
1233	날카로울 예	鋭	えい	するどい
1234	벨 예	刈		かる
1235	이를 예	詣	けい	もうでる
1236	기릴/ 명예 예	誉	よ	ほまれ
1237	다섯 오	五	ご	いつ、いつつ
1238	낮 오	午	ご	
1239	그르칠 오	誤	ご	あやまる
1240	더러울 오	汚	お	けがす、けがれる、けがらわしい、よごす、よごれる、きたない
1241	성씨 오	呉	ご	
1242	즐길 오	娯	ご	
1243	깨달을 오	悟	ご	さとる
1244	깊을 오	奥	おう	おく
1245	거만할 오	傲	ごう	
1246	구슬 옥	玉	ぎょく	たま
1247	집 옥	屋	おく	や
1248	물 댈 옥	沃	よく	
1249	감옥 옥	獄	ごく	
1250	따뜻할 온	温	おん	あたたかい、あたたまる、あたためる
1251	편안할 온	穏	おん	おだやか
1252	늙은이 옹	翁	おう	おきな
1253	낄 옹	擁	よう	
1254	기와 와	瓦	が	かわら
1255	소용돌이 와	渦	か	うず
1256	완전할 완	完	かん	
1257	완연할 완	宛		あてる
1258	희롱할 완	玩	がん	
1259	팔뚝 완	腕	わん	うで
1260	완고할 완	頑	がん	
1261	느릴 완	緩	かん	ゆるい、ゆるやか、ゆるむ、ゆるめる
1262	임금 왕	王	おう	
1263	갈 왕	往	おう	
1264	왕성할 왕	旺	おう	
1265	바깥 외	外	がい、げ	そと、ほか、はずす、はずれる
1266	두려워할 외	畏	い	おそれる
1267	빛날 요	曜	よう	
1268	요긴할 요	要	よう	いる
1269	오목할 요	凹	おう	ほこ、へこむ、へこます
1270	아리따울 요	妖	よう	あやしい
1271	흔들 요	揺	よう	ゆれる、ゆる、ゆらぐ、ゆるぐ、ゆする、ゆさぶる、ゆすぶる
1272	허리 요	腰	よう	こし
1273	기와 가마 요	窯	よう	かま
1274	노래 요	謡	よう	うたい、うたう
1275	목욕할 욕	浴	よく	あびる、あびせる
1276	하고자 할 욕	欲	よく	ほっする、ほしい
1277	욕될 욕	辱	じょく	はずかしめる
1278	쓸 용	用	よう	もちいる
1279	날랠 용	勇	ゆう	いさむ、いさましい
1280	모양 용	容	よう	
1281	쓸데없을 용	冗	じょう	
1282	떳떳할 용	庸	よう	
1283	물 솟을 용	湧	ゆう	わく
1284	녹을 용	溶	よう	とける、とかす、とく
1285	뛸 용	踊	よう	おどる、おどり
1286	오른쪽 우	右	う、ゆう	みぎ
1287	비 우	雨	う	あめ、あま
1288	소 우	牛	ぎゅう	うし
1289	벗 우	友	ゆう	とも
1290	깃 우	羽	う	は、はね、わ
1291	집 우	宇	う	
1292	우편 우	郵	ゆう	
1293	넉넉할 우	優	ゆう	やさしい、すぐれる
1294	또 우	又		また
1295	토란 우	芋		いも
1296	짝 우	偶	ぐう	
1297	만날 우	遇	ぐう	
1298	모퉁이 우	隅	ぐう	すみ
1299	어리석을 우	愚	ぐ	おろか
1300	염려할 우	虞	ぐ	おそれ
1301	근심 우	憂	ゆう	うれえる、うれい
1302	구름 운	雲	うん	くも
1303	옮길 운	運	うん	はこぶ
1304	운율 운	韻	いん	
1305	막힐 울	鬱	うつ	
1306	수컷 웅	雄	ゆう	おす、お
1307	곰 웅	熊		くま
1308	둥글 원	円	えん	まるい
1309	으뜸 원	元	げん、がん	もと
1310	언덕 원	原	げん	はら
1311	멀 원	遠	えん、おん	とおい
1312	동산 원	園	えん	その
1313	집 원	院	いん	
1314	인원 원	員	いん	
1315	원할 원	願	がん	ねがう
1316	근원 원	源	げん	みなもと
1317	원망할 원	怨	えん、おん	うらむ
1318	담 원	垣		かき
1319	도울 원	援	えん	
1320	미인 원	媛	えん	ひめ
1321	원숭이 원	猿	えん	さる
1322	달 월	月	げつ、がつ	つき
1323	넘을 월	越	えつ	こす、こえる
1324	맡길 위	委	い	ゆだねる
1325	자리 위	位	い	くらい
1326	에워쌀 위	囲	い	かこむ、かこう
1327	밥통 위	胃	い	
1328	지킬 위	衛	えい	
1329	위태할 위	危	き	あぶない、あやうい、あやぶむ
1330	위엄 위	威	い	
1331	할 위	為	い	ため、なす、なる
1332	시들 위	萎	い	なえる、しおれる、しぼむ
1333	거짓 위	偽	ぎ	にせ、いつわる
1334	벼슬 위	尉	い	
1335	클 위	偉	い	えらい
1336	어긋날 위	違	い	ちがう、ちがえる
1337	위로할 위	慰	い	なぐさめる、なぐさむ
1338	위도 위	緯	い	
1339	말미암을 유	由	ゆ、ゆう、ゆい	よし
1340	있을 유	有	ゆう、う	ある
1341	기름 유	油	ゆ	あぶら
1342	놀 유	遊	ゆう、ゆ	あそぶ
1343	어릴 유	幼	よう	おさない
1344	젖 유	乳	にゅう	ちち、ち
1345	남길 유	遺	い、ゆい	
1346	부드러울 유	柔	じゅう、にゅう	やわらか、やわらかい
1347	그윽할 유	幽	ゆう	
1348	오직 유	唯	ゆい、い	ただ
1349	유유자적할 유	悠	ゆう	
1350	즐거울 유	愉	ゆ	
1351	비유할 유	喩	ゆ	
1352	오히려 유	猶	ゆう	
1353	넉넉할 유	裕	ゆう	
1354	꾈 유	誘	ゆう	さそう
1355	벼리 유	維	い	
1356	타이를 유	諭	ゆ	さとす
1357	선비 유	儒	じゅ	
1358	병 나을 유	癒	ゆ	いえる、いやす
1359	여섯 육	六	ろく	む、むつ、むい、むっつ
1360	고기 육	肉	にく	
1361	기를 육	育	いく	そだつ、そだてる、はぐくむ
1362	불을 윤	潤	じゅん	うるおう、うるおす、うるむ
1363	녹을 융	融	ゆう	
1364	은 은	銀	ぎん	
1365	은혜 은	恩	おん	
1366	숨을 은	隠	いん	かくす、かくれる
1367	새 을	乙	おつ	
1368	소리 음	音	おん、いん	おと、ね
1369	마실 음	飲	いん	のむ
1370	읊을 음	吟	ぎん	
1371	그늘 음	陰	いん	かげ、かげる
1372	음란할 음	淫	いん	みだら
1373	울 읍	泣	きゅう	なく
1374	응할 응	応	おう	こたえる
1375	엉길 응	凝	ぎょう	こる、こらす
1376	의원 의	医	い	
1377	뜻 의	意	い	
1378	옷 의	衣	い	ころも
1379	의논할 의	議	ぎ	
1380	옳을 의	義	ぎ	
1381	의심할 의	疑	ぎ	うたがう
1382	의지할 의	依	い、え	
1383	마땅 의	宜	ぎ	
1384	의자 의	椅	い	
1385	거동 의	儀	ぎ	
1386	비길 의	擬	ぎ	
1387	두 이	二	に	ふた、ふたつ
1388	귀 이	耳	じ	みみ
1389	써 이	以	い	
1390	옮길 이	移	い	うつる、うつす
1391	다를 이	異	い	ことなる
1392	두/ 갖은두 이	弐	に	
1393	미끼 이	餌	じ	えさ、え
1394	더할 익	益	えき、やく	
1395	다음날 익	翌	よく	
1396	빠질 익	溺	でき	おぼれる
1397	날개 익	翼	よく	つばさ
1398	사람 인	人	じん、にん	ひと
1399	끌 인	引	いん	ひく、ひける
1400	도장 인	印	いん	しるし
1401	인할 인	因	いん	よる
1402	어질 인	仁	じん、に	
1403	알 인	認	にん	みとめる
1404	칼날 인	刃	じん	は
1405	참을 인	忍	にん	しのぶ、しのばせる
1406	혼인 인	姻	いん	
1407	목구멍 인	咽	いん	むせぶ
1408	한 일	一	いち、いっ	ひと、ひとつ
1409	날 일	日	にち、じつ	ひ、か
1410	한/ 갖은한 일	壱	いち	
1411	편안할 일	逸	いつ	
1412	맡길 임	任	にん	まかせる、まかす
1413	품삯 임	賃	ちん	
1414	아이밸 임	妊	にん	
1415	들 입	入	にゅう	いる、いれる、はいる
1416	남을 잉	剰	じょう	
1417	아들 자	子	し、す	こ
1418	글자 자	字	じ	
1419	스스로 자	自	じ、し	みずから
1420	손윗누이 자	姉	し	あね、ねえ
1421	놈 자	者	しゃ	もの
1422	재물 자	資	し	
1423	모양 자	姿	し	すがた
1424	자석 자	磁	じ	
1425	찌를 자	刺	し	さす、ささる
1426	가시나무 자	茨		いばら
1427	방자할 자	恣	し	ほしいまま
1428	자주빛 자	紫	し	むらさき
1429	불을 자	滋	じ	
1430	삶을 자	煮	しゃ	にる、にえる、にやす
1431	사랑 자	慈	じ	いつくしむ
1432	암컷 자	雌	し	めす、め
1433	물을 자	諮	し	はかる
1434	지을 작	作	さく、さ	つくる
1435	어제 작	昨	さく	
1436	술 부을 작	酌	しゃく	くむ
