번호	뜻	한자	훈독	음독
174	칠 공	攻	こう	せめる
175	두려울 공	恐	きょう	おそれる、おそろしい
176	공손할 공	恭	きょう	うやうやしい
177	바칠 공	貢	こう、く	みつぐ
178	당길 공	控	こう	ひかえる
179	과목 과	科	か	
180	실과 과	果	か	はたす、はてる
181	공부할 과	課	か	
182	지날 과	過	か	すぎる、すごす、あやまつ
183	과자 과	菓	か	
184	자랑할 과	誇	こ	ほこる、ほこらしい
185	적을 과	寡	か	
186	냄비 과	鍋		なべ
187	둘레 곽	郭	かく	
188	집 관	館	かん	
189	벼슬 관	官	かん	
190	대롱 관	管	かん	くだ
191	관계할 관	関	かん	せき、かかわる
192	볼 관	観	かん	
193	익숙할 관	慣	かん	なれる、ならす
194	꿸 관	串		くし
195	두레박 관	缶	かん	
196	갓 관	冠	かん	かんむり
197	꿸 관	貫	かん	つらぬく
198	널 관	棺	かん	ひつぎ
199	항목 관	款	かん	
200	너그러울 관	寛	かん	くつろぐ
201	묶을 괄	括	かつ	くくる
202	넓을 광	広	こう	ひろい、ひろまる、ひろめる、ひろがる、ひろげる
203	빛 광	光	こう	ひかる、ひかり
204	쇳돌 광	鉱	こう	
205	미칠 광	狂	きょう	くるう、くるおしい
206	걸 괘	掛		かける、かかる
207	괴이할 괴	怪	かい	あやしい、あやしむ
208	후릴 괴	拐	かい	
209	덩어리 괴	塊	かい	かたまり
210	무너질 괴	壊	かい	こわす、こわれる
211	학교 교	校	こう	
212	사귈 교	交	こう	まじわる、まじえる、まざる、かう、かわす
213	가르칠 교	教	きょう	おしえる、おそわる
214	다리 교	橋	きょう	はし
215	공교할 교	巧	こう	たくみ
216	들 교	郊	こう	
217	목맬 교	絞	こう	しぼる、しめる、しまる
218	견줄 교	較	かく	
219	바로잡을 교	矯	きょう	ためる
220	아홉 구	九	きゅう、く	ここの、ここのつ
221	입 구	口	こう、く	くち
222	구분할 구	区	く	
223	연구할 구	究	きゅう	きわめる
224	갖출 구	具	ぐ	そなわる
225	공 구	球	きゅう	たま
226	구할 구	求	きゅう	もとめる
227	구원할 구	救	きゅう	すくう
228	오랠 구	久	きゅう、く	ひさしい
229	글귀 구	句	く	
230	예 구	旧	きゅう	
231	얽을 구	構	こう	かまえる、かまう
232	굽을 구	勾	こう	
233	언덕 구	岡	きゅう	おか
234	절구 구	臼	きゅう	うす
235	때릴 구	殴	おう	なぐる
236	구라파 구	欧	おう	
237	잡을 구	拘	こう	
238	두려워할 구	惧	ぐ	
239	몰 구	駆	く	かける、かる
240	도랑 구	溝	こう	みぞ
241	망아지 구	駒		こま
242	살 구	購	こう	
243	나라 국	国	こく	くに
244	판 국	局	きょく	
245	국화 국	菊	きく	
246	임금 군	君	くん	きみ
247	군사 군	軍	ぐん	
248	고을 군	郡	ぐん	
249	무리 군	群	ぐん	むれる、むら
250	굽힐 굴	屈	くつ	
251	팔 굴	掘	くつ	ほる
252	굴 굴	堀		ほり
253	굴 굴	窟	くつ	
254	활 궁	弓	きゅう	ゆみ
255	집 궁	宮	きゅう、ぐう、く	みや
256	다할/ 궁할 궁	窮	きゅう	きわめる、きわまる
257	문서 권	券	けん	
258	책 권	巻	かん	まく、まき
259	권세 권	権	けん、ごん	
260	주먹 권	拳	けん	こぶし
261	우리 권	圏	けん	
262	권할 권	勧	かん	すすめる
263	책상 궤	机	き	つくえ
264	바퀴자국 궤	軌	き	
265	무너질 궤	潰	かい	つぶす、つぶれる
266	돌아갈 귀	帰	き	かえる、かえす
267	귀할 귀	貴	き	たっとい、たっとぶ、とうとい、とうとぶ
268	귀신 귀	鬼	き	おに
269	거북 귀/ 터질 균	亀	き	かめ
270	법 규	規	き	
271	부르짖을 규	叫	きょう	さけぶ
272	규탄할 규	糾	きゅう	
273	고를 균	均	きん	
274	버섯 균	菌	きん	
275	다할 극	極	きょく、ごく	きわめる、きわまる、きわみ
276	심할 극	劇	げき	
277	이길 극	克	こく	
278	틈 극	隙	げき	すき
279	가까울 근	近	きん	ちかい
280	뿌리 근	根	こん	ね
281	부지런할 근	勤	きん	つとめる、つとまる
282	힘줄 근	筋	きん	すじ
283	근 근	斤	きん	
284	겨우 근	僅	きん	わずか
285	삼갈 근	謹	きん	つつしむ
286	쇠 금	金	きん、こん	かね、かな
287	이제 금	今	こん、きん	いま
288	금할 금	禁	きん	
289	거문고 금	琴	きん	こと
290	비단 금	錦	きん	にしき
291	옷깃 금	襟	きん	えり
292	급할 급	急	きゅう	いそぐ
293	등급 급	級	きゅう	
294	줄 급	給	きゅう	
295	미칠 급	及	きゅう	およぶ、および、およぼす
296	미칠 급	扱		あつかう
297	즐길 긍	肯	こう	
298	기운 기	気	き、け	
299	물 끓는 김 기	汽	き	
300	기록할 기	記	き	しるす
301	기약할 기	期	き、ご	
302	일어날 기	起	き	おきる、おこる、おこす
303	벼리 기	紀	き	
304	기 기	旗	き	はた
305	그릇 기	器	き	うつわ
306	베틀 기	機	き	はた
307	재주 기	技	ぎ	わざ
308	부칠 기	寄	き	よる、よせる
309	터 기	基	き	もと、もとい
310	몸 기	己	こ、き	おのれ
311	꾀할 기	企	き	くわだてる、たくらむ
312	살 기	肌		はだ
313	재간 기	伎	ぎ、き	
314	갈림길 기	岐	き	
315	꺼릴 기	忌	き	いむ、いまわしい
316	기특할 기	奇	き	
317	빌 기	祈	き	いのる
318	이미 기	既	き	すでに
319	주릴 기	飢	き	うえる
320	갑 기	埼		さい
321	험할 기	崎		さき
322	몇 기	幾	き	いく
323	바둑 기	棋	き	
324	속일 기	欺	ぎ	あざむく
325	바둑 기	碁	ご	
326	버릴 기	棄	き	
327	경기 기	畿	き	
328	말탈 기	騎	き	
329	긴할 긴	緊	きん	
330	길할 길	吉	きち、きつ	
331	먹을 끽	喫	きつ	
332	어찌 나	那	な	
333	어찌 나	奈	な	
334	허락할 낙	諾	だく	
335	어려울 난	難	なん	かたい、むずかしい
336	따뜻할 난	暖	だん	あたたか、あたたかい、あたたまる、あたためる
337	사내 남	男	だん、なん	おとこ
338	남녘 남	南	なん	みなみ
339	들일 납	納	のう、なつ	おさまる、おさめる
340	여자 낭	娘		むすめ
341	안 내	内	ない、だい	うち
342	향내 내	匂		みおう
343	견딜 내	耐	たい	たえる
344	여자 녀	女	じょ、にょ、にょう	おんな
345	해 년	年	ねん	とし
346	생각 념	念	ねん	
347	편안할 녕	寧	ねい	
348	힘쓸 노	努	ど	つとめる
349	종 노	奴	ど	やつ、やっこ
350	성낼 노	怒	ど	いかる、おこる
351	농사 농	農	のう	
352	짙을 농	濃	のう	こい
353	골 뇌	脳	のう	
354	번뇌할 뇌	悩	のう	なやむ、なやます、なやましい
355	오줌 뇨	尿	にょう	
356	능할 능	能	のう	
357	여승 니	尼	に	あま
358	진흙 니	泥	でい	どろ
359	숨길 닉	匿	とく	
360	많을 다	多	た	おおい
361	짧을 단	短	たん	みじかい
362	홑 단	単	たん	
363	둥글 단	団	だん、とん	
364	끊을 단	断	だん	たつ、ことわる
365	층계 단	段	だん	
366	붉을 단	丹	たん	
367	아침 단	旦	たん、だん	
368	다만 단	但		ただし
369	끝 단	端	たん	はし、は、はた
370	단 단	壇	だん、たん	
371	쇠 불릴 단	鍛	たん	きたえる
372	통달할 달	達	たつ	
373	말씀 담	談	だん	
374	멜 담	担	たん	かつぐ、になう
375	쓸개 담	胆	たん	
376	맑을 담	淡	たん	あわい
377	흐릴 담	曇	どん	くもる
378	대답할 답	答	とう	こたえる
379	밟을 답	踏	とう	ふむ、ふまえる
380	마땅할 당	当	とう	あたる、あてる
381	집 당	堂	どう	
382	무리 당	党	とう	
383	엿 당	糖	とう	
384	당나라/ 당황할 당	唐	とう	から
385	큰 대	大	だい、たい	おお、おおいに、おおきい
386	대 대/ 태풍 태	台	だい、たい	
387	대신할 대	代	だい、たい	かわる、かえる、よ、しろ
388	대할 대	対	たい、つい	
389	기다릴 대	待	たい	まつ
390	띠 대	帯	たい	おびる、おび
391	무리 대	隊	たい	
392	빌릴 대	貸	たい	かす
393	자루 대	袋	たい	ふくろ
394	일 대	戴	たい	いただく
395	큰 덕	徳	とく	
396	칼 도	刀	とう	かたな
397	그림 도	図	ず、と	はかる
398	길 도	道	どう、とう	みち
399	법도 도	度	ど、と、たく	たび
400	섬 도	島	とう	しま
401	도읍 도	都	と、つ	みやこ
402	무리 도	徒	とどう	
403	인도할 도	導	とう	みちびく
404	이를 도	到	ちょう	いたる
405	돋울 도	挑	とう	いどむ
406	도망할 도	逃	とう	にげる、にがす、のがす、のがれる
407	넘어질 도	倒	とう	たおれる、たおす
408	길 도	途	と	
409	복숭아 도	桃	とう	もも
410	슬퍼할 도	悼	とう	いたむ
411	도둑 도	盗	とう	ぬすむ
412	질그릇 도	陶	とう	
413	건널 도	渡	と	わたる、わたす
414	뛸 도	跳	ちょう	はねる、とぶ
415	칠할 도	塗	と	ぬる
416	벼 도	稲	とう	いね、いな
417	내기 도	賭	と	かける
418	읽을 독	読	どく、とく、とう	よむ
419	독 독	毒	どく	
420	홀로 독	独	どく	ひとり
421	감독할 독	督	とく	
422	도타울 독	篤	とく	
423	돼지 돈	豚	とん	ぶた
424	조아릴 돈	頓	とん	
425	갑자기 돌	突	とつ	つく
426	겨울 동	冬	とう	ふゆ
427	한가지 동	同	どう	おなじ
428	동녘 동	東	とう	ひがし
429	움직일 동	動	どう	うごく、うごかす
430	아이 동	童	どう	わらべ
431	일할 동	働	どう	はたらく
432	구리 동	銅	どう	
433	골 동/밝을 통	洞	どう	ほら
434	얼 동	凍	とう	こおる、こごえる
435	몸통 동	胴	どう	
436	마룻대 동	棟	とう	むね、むな
437	동경할 동	憧	どう、しょう	あこがれる
438	눈동자 동	瞳	どう	ひとみ
439	머리 두	頭	とう、ず、と	あたま、かしら
440	콩 두	豆	とう、ず	まめ
441	말 두	斗	ととう	
442	역질 두	痘	とん	
443	진칠 둔	屯	どん	
444	둔할 둔	鈍	とく	にぶい、にぶる
445	얻을 득	得	とう、と	える、うる
446	오를 등	登	とう	のぼる
447	무리 등	等	とうとう	ひとしい
448	등불 등	灯	とう	ひ
449	베낄 등	謄	とう	
450	등나무 등	藤	とう	ふじ
451	오를 등	騰	とう	
452	벗을 라	裸	ら	はだか
453	벌일 라	羅	ら	
454	즐길 락/노래 악	楽	らく、がく	たのしい、たのしむ
455	떨어질 락	落	らく	おちる、おとす
456	이을/얽을 락	絡	らく	からむ、からまる、からめる
457	쇠젖 락	酪	らく	
458	알 란	卵	らん	たまご
459	어지러울 란	乱	らん	みだれる、みだす
460	난간 란	欄	らん	
461	매울 랄	辣	らつ	
462	볼 람	覧	らん	
463	남기 람	嵐	らん	あらし
464	넘칠 람	濫	らん	
465	쪽 람	藍	らん	あい
466	끌 랍	拉	ら	
467	밝을 랑	朗	ろう	ほがらか
468	사내 랑	郎	ろう	
469	물결 랑	浪	ろう	
470	행랑 랑	廊	ろう	
471	올 래	来	らい	くる、きたる、きたす
472	찰 랭	冷	れい	つめたい、ひえる、ひや、ひやす、ひやかす、ひめる、さます
473	간략할 략	略	りゃく	
474	두 량	両	りょう	
475	어질 량	良	りょう	よい
476	헤아릴 량	量	りょう	はかる
477	서늘할 량	涼	りょう	すずしい、すずむ
478	양식 량	糧	りょう、ろう	かて
479	나그네 려	旅	りょ	たび
480	어그러질 려	戻	れい	もどす、もどる
481	음률 려	呂	ろ	
482	힘쓸 려	励	れい	はげむ、はげます
483	짝 려	侶	りょ	
484	생각할 려	慮	りょ	
485	고울 려	麗	れい	うるわしい
486	힘 력	力	りょく、りき	ちから
487	지낼 력	歴	れき	
488	책력 력	暦	れき	こよみ
489	익힐 련	練	れん	ねる
490	잇닿을 련	連	れん	つらなる、つらねる、つれる
491	그리워할 련	恋	れん	こう、こい、こいしい
492	불릴/단련할 련	錬	れん	ねる
493	벌일 렬	列	れつ	
494	못할 렬	劣	れつ	おとる
